site,directory,hobo_file_prefix,pqm_file,read_pqm_file,hobo_date_range,pqm_date_range,comment,read_hobo_files
01_02,data/SDH_Hinganghat/,C-,SN31748_022728.csv,False,20200202-20200227,20200218-20200227,Here the hobo starts after the PQM but it is handled well.,True
01_02,data/SDHH_20200630/,C-,P-01_SDHH_20200630.csv,True,20200227-20200630,20200218-20200630,This PQM file includes the one above and there is no need to read both.,True
01_02,data/SDHH_20200709/,C-,P-01_SDHH_20200707.csv,True,20200630-20200707,20200630-20200707,,True
01_02,data/CL_SDHH_20200808/,C-,P-01_SDHH_20200808.csv,False,20200707-20200808,20200707-20200808,,True
01_02,data/CL_SDHH_20200910/,C-,PQM_SDH HING_SN31866.csv,False,20200808-20200905,20200707-20200905,THIS ONE SUPERSEDES PRIOR POWER FILE,True
01_02,data/CL_SDHH_20200920/,C-,200920_PQM_SN31866.csv,False,20200905-20200920,20200707-20200920,THIS ONE SUPERSEDES PRIOR POWER FILE,True
01_02,data/CL_SDHH_20201003/,C-,PQM_HinSDH_031020.csv,True,20200920-20201003,20200920-20201003,,True
04_01,data/GWH Amravati/,C-,P-02_AGH_20200304.csv,True,20200226-20200304,20200226-20200304,,True
04_01,data/CL_AGH_20200709/,C-,P-02_AGH_20200709.csv,True,20200304-20200328,20200605-20200709,There is no overlap between hobo and PQM. PQM gap needs to be marked.,True
02_01,data/Bhandara_GH/,C-,P-03_BGH_20200311.csv,True,20200303-20200311,20200302-20200311,,False
02_01,data/250620/,C-,PO3_02_01.csv,True,20200303-20200327,20200326-20200625,The hobo files here seem to include the ones above and there is no need to read both.,True
02_01,data/020720/,C-,NO_POWER_FILE_PRESENT,False,20200625-20200702,NA,,True
02_01,data/CL_BGH_20200709/,C-,P-03_BGH_20200709.csv,False,20200702-20200709,20200702-20200709,,True
02_01,data/CL_BGH_20200716/,C-,P-03_BGH_20200716.csv,True,20200709-20200716,20200702-20200716,This PQM file includes the one above and there is no need to read both.,True
02_01,data/CL_BGH_20200723/,C-,P-03_BGH_20200723.csv,True,20200716-20200723,20200716-20200723,,True
02_01,data/CL_BGH_20200730/,C-,P-03_BGH_20200730.csv,True,20200723-20200730,20200716-20200730,,True
02_01,data/CL_BGH_20200806/,C-,P-03_BGH_20200803.csv,True,20200730-20200806,20200715-20200803,THIS ONE HAS TWO POWER FILES,True
02_01,data/CL_BGH_20200806/,C-,P-03_BGH_20200806.csv,False,20200730-20200806,20200803-20200806,THIS ONE HAS TWO POWER FILES,False
02_01,data/CL_BGH_20200820/,C-,200820_SN31872.csv,False,20200813-20200820,20200803-20200820,THIS ONE SUPERSEDES PRIOR POWER FILE,True
02_01,data/CL_BGH_20200827/,C-,PW -BGH- 270820 SN31872.csv,False,20200820-20200827,20200803-20200827,THIS ONE SUPERSEDES PRIOR POWER FILE,True
02_01,data/CL_BGH_20200903/,C-,PW_bgh_030920_SN31872.csv,False,20200827-20200903,20200803-2020903,THIS ONE SUPERSEDES PRIOR POWER FILE,True
02_01,data/CL_BGH_20200910/,C-,P-03_BGH_100920_SN31872.csv,False,20200827-20200910,20200803-2020910,THIS ONE SUPERSEDES PRIOR POWER FILE,True
02_01,data/CL_BGH_20200916/,C-,PO3_BGH_160920_SN31872.csv,True,20200910-20200916,20200803-2020916,THIS ONE SUPERSEDES PRIOR POWER FILE BUT OVERFLOWED,True
02_01,data/CL_BGH_20200924/,C-,240920_PQM_SN31872.csv,True,20200916-20200924,20200916-2020924,,True
02_01,data/CL_BGH_20201001/,C-,PQM_BGH_SN31872_011020.csv,False,20200924-20201002,20200916-20201001,THIS ONE SUPERSEDES PRIOR POWER FILE,True
